,Target_test,Prediction_Tree,Prediction_Tree2,Prediction_Logreg,Prediction_Logreg2
1906,0,0,0.0,0,0.13750243545787214
1907,0,0,0.0,0,0.05867044662583783
1908,0,1,1.0,0,0.1872450249833791
1909,0,0,0.0,0,0.01245844506633567
1910,0,1,1.0,0,0.1795267218069076
1911,0,0,0.0,0,0.02532862404572825
1912,0,0,0.0,0,0.07980651124963367
1913,0,0,0.0,0,0.019365374989504445
1914,0,0,0.0,0,0.09238148057777515
1915,0,1,1.0,0,0.1294326427181483
1916,0,0,0.0,0,0.023327125857651437
1917,1,0,0.0,0,0.06064387848238131
1918,0,1,1.0,0,0.44933239707780687
1919,0,0,0.0,0,0.020839256683704233
1920,0,0,0.0,0,0.05077560722843352
1921,0,0,0.0,0,0.017854632412767617
1922,1,1,1.0,1,0.6303770702882409
1923,0,0,0.0,0,0.01724983469556152
1924,0,0,0.0,0,0.014118039333144717
1925,0,0,0.0,0,0.022908368523764766
1926,0,0,0.0,0,0.014617698159047727
1927,0,0,0.0,0,0.03353770506366781
1928,0,0,0.0,0,0.04585287687352003
1929,0,0,0.0,0,0.3302633983235456
1930,0,0,0.0,0,0.012171716126713627
1931,0,0,0.0,0,0.01745221199758071
1932,0,0,0.0,0,0.027358970481219835
1933,0,0,0.0,0,0.055393980559228596
1934,0,0,0.0,0,0.029349866734003027
1935,0,0,0.0,0,0.028162013680644245
1936,1,1,1.0,1,0.9319163957834754
1937,0,0,0.0,0,0.05574478224124455
1938,0,0,0.0,0,0.018583258325548337
1939,0,0,0.0,0,0.05227558885401943
1940,1,0,0.0,0,0.11821591680077767
1941,0,0,0.0,0,0.02405612037044745
1942,0,1,1.0,0,0.4684527746122521
1943,0,0,0.0,0,0.04656593325869597
1944,0,0,0.0,0,0.042507416457156416
1945,0,0,0.0,0,0.20474294117253575
1946,0,1,1.0,1,0.7248553259190258
1947,0,0,0.0,0,0.11686384018705072
1948,0,1,1.0,0,0.4252779786064027
1949,0,0,0.0,0,0.01254274834406208
1950,0,0,0.0,0,0.03971229476737431
1951,0,0,0.0,0,0.12355099587561981
1952,0,0,0.0,0,0.1527822577587729
1953,0,0,0.0,0,0.0177199948166015
1954,0,1,1.0,0,0.32693856577468977
1955,0,0,0.0,0,0.016554090385464963
1956,0,0,0.0,0,0.04973327251998159
1957,0,0,0.0,0,0.010110148164740521
1958,0,0,0.0,0,0.008824601291069897
1959,0,0,0.0,0,0.15931107592177682
1960,0,0,0.0,0,0.08498492925643611
1961,0,0,0.0,0,0.06610761239635611
1962,0,0,0.0,0,0.1408276146510132
1963,0,0,0.0,0,0.43951784456595105
1964,0,0,0.0,0,0.08958414576640711
1965,0,0,0.0,0,0.03379589813576535
1966,0,0,0.0,0,0.030742244051480943
1967,1,0,0.0,0,0.06318975044588904
1968,0,0,0.0,0,0.028672893107300205
1969,0,0,0.0,0,0.05366638687214729
1970,0,0,0.0,0,0.05746596924050393
1971,0,0,0.0,0,0.25397224015708414
1972,1,0,0.0,0,0.0667746211628102
1973,0,0,0.0,0,0.2912592902878199
1974,0,0,0.0,0,0.015182169056049594
1975,0,0,0.0,0,0.016721249232904342
1976,0,1,1.0,0,0.09779842274735005
1977,0,0,0.0,0,0.08973684970941657
1978,0,0,0.0,0,0.05192389309590609
1979,0,0,0.0,0,0.043080608483707386
1980,0,0,0.0,0,0.01247836316188801
1981,1,0,0.0,0,0.07685963152791375
1982,0,0,0.0,0,0.06563067430565402
1983,0,0,0.0,0,0.01592791771893077
1984,0,0,0.0,0,0.06579892288040547
1985,0,0,0.0,0,0.012375705878092023
1986,0,0,0.0,0,0.1957479673075816
1987,0,0,0.0,0,0.016826297986324366
1988,0,0,0.0,0,0.030701562985271914
1989,0,0,0.0,0,0.09938938201256123
1990,0,0,0.0,0,0.013234200195144834
1991,1,0,0.0,0,0.1913678041266403
1992,0,0,0.0,0,0.023729401427413203
1993,0,0,0.0,0,0.015331886045544755
1994,0,0,0.0,0,0.04700041085859764
1995,0,0,0.0,0,0.017093153786499313
1996,0,0,0.0,0,0.06212521925152963
1997,0,0,0.0,0,0.06327074906238003
1998,1,1,1.0,0,0.34491468082103177
1999,0,0,0.0,0,0.024071328875824898
2000,0,0,0.0,0,0.020171821872260184
